date,target_group,value,population
2022-12-31,Pediatrics,57,4921958
2023-01-07,Adults,87,14194251
2023-01-07,Overall,141,19116209
2023-01-07,Pediatrics,54,4921958
2023-01-14,Adults,92,14194251
2023-01-14,Overall,137,19116209
2023-01-14,Pediatrics,45,4921958
2023-01-21,Adults,72,14194251
2023-01-21,Overall,107,19116209
2023-01-21,Pediatrics,35,4921958
2023-01-28,Adults,54,14194251
2023-01-28,Overall,94,19116209
2023-01-28,Pediatrics,40,4921958
2023-02-04,Adults,74,14194251
2023-02-04,Overall,108,19116209
2023-02-04,Pediatrics,34,4921958
2023-02-11,Adults,70,14194251
2023-02-11,Overall,95,19116209
2023-02-11,Pediatrics,25,4921958
2023-02-18,Adults,72,14194251
2023-02-18,Overall,115,19116209
2023-02-18,Pediatrics,43,4921958
2023-02-25,Adults,77,14194251
2023-02-25,Overall,124,19116209
2023-02-25,Pediatrics,47,4921958
2023-03-04,Adults,66,14194251
2023-03-04,Overall,110,19116209
2023-03-04,Pediatrics,44,4921958
2023-03-11,Adults,81,14194251
2023-03-11,Overall,181,19116209
2023-03-11,Pediatrics,100,4921958
2023-03-18,Adults,85,14194251
2023-03-18,Overall,215,19116209
2023-03-18,Pediatrics,130,4921958
2023-03-25,Adults,92,14194251
2023-03-25,Overall,186,19116209
2023-03-25,Pediatrics,94,4921958
2023-04-01,Adults,111,14194251
2023-04-01,Overall,183,19116209
2023-04-01,Pediatrics,72,4921958
2023-04-08,Adults,99,14194251
2023-04-08,Overall,182,19116209
2023-04-08,Pediatrics,83,4921958
2023-04-15,Adults,72,14194251
2023-04-15,Overall,160,19116209
2023-04-15,Pediatrics,88,4921958
2023-04-22,Adults,83,14194251
2023-04-22,Overall,221,19116209
2023-04-22,Pediatrics,138,4921958
2023-04-29,Adults,91,14194251
2023-04-29,Overall,236,19116209
2023-04-29,Pediatrics,145,4921958
2023-05-06,Adults,142,14194251
2023-05-06,Overall,350,19116209
2023-05-06,Pediatrics,208,4921958
2023-05-13,Adults,135,14194251
2023-05-13,Overall,370,19116209
2023-05-13,Pediatrics,235,4921958
2023-05-20,Adults,145,14194251
2023-05-20,Overall,409,19116209
2023-05-20,Pediatrics,264,4921958
2023-05-27,Adults,123,14194251
2023-05-27,Overall,434,19116209
2023-05-27,Pediatrics,311,4921958
2023-06-03,Adults,145,14194251
2023-06-03,Overall,457,19116209
2023-06-03,Pediatrics,312,4921958
2023-06-10,Adults,149,14194251
2023-06-10,Overall,470,19116209
2023-06-10,Pediatrics,321,4921958
2023-06-17,Adults,119,14194251
2023-06-17,Overall,421,19116209
2023-06-17,Pediatrics,302,4921958
2023-06-24,Adults,115,14194251
2023-06-24,Overall,325,19116209
2023-06-24,Pediatrics,210,4921958
2023-07-01,Adults,122,14194251
2023-07-01,Overall,283,19116209
2023-07-01,Pediatrics,161,4921958
2023-07-08,Adults,112,14194251
2023-07-08,Overall,217,19116209
2023-07-08,Pediatrics,105,4921958
2023-07-15,Adults,115,14194251
2023-07-15,Overall,208,19116209
2023-07-15,Pediatrics,93,4921958
2023-07-22,Adults,132,14194251
2023-07-22,Overall,214,19116209
2023-07-22,Pediatrics,82,4921958
2023-07-29,Adults,107,14194251
2023-07-29,Overall,216,19116209
2023-07-29,Pediatrics,109,4921958
2023-08-05,Adults,110,14194251
2023-08-05,Overall,222,19116209
2023-08-05,Pediatrics,112,4921958
2023-08-12,Adults,100,14194251
2023-08-12,Overall,230,19116209
2023-08-12,Pediatrics,130,4921958
2023-08-19,Adults,103,14194251
2023-08-19,Overall,222,19116209
2023-08-19,Pediatrics,119,4921958
2023-08-26,Adults,102,14194251
2023-08-26,Overall,210,19116209
2023-08-26,Pediatrics,108,4921958
2023-09-02,Adults,110,14194251
2023-09-02,Overall,228,19116209
2023-09-02,Pediatrics,118,4921958
2023-09-09,Adults,114,14194251
2023-09-09,Overall,254,19116209
2023-09-09,Pediatrics,140,4921958
2023-09-16,Adults,124,14194251
2023-09-16,Overall,247,19116209
2023-09-16,Pediatrics,123,4921958
2023-09-23,Adults,107,14194251
2023-09-23,Overall,218,19116209
2023-09-23,Pediatrics,111,4921958
2023-09-30,Adults,129,14194251
2023-09-30,Overall,231,19116209
2023-09-30,Pediatrics,102,4921958
2023-10-07,Adults,137,14194251
2023-10-07,Overall,250,19116209
2023-10-07,Pediatrics,113,4921958
2023-10-14,Adults,126,14194251
2023-10-14,Overall,253,19116209
2023-10-14,Pediatrics,127,4921958
2023-10-21,Adults,127,14194251
2023-10-21,Overall,257,19116209
2023-10-21,Pediatrics,130,4921958
2023-10-28,Adults,124,14194251
2023-10-28,Overall,226,19116209
2023-10-28,Pediatrics,102,4921958
2023-11-04,Adults,120,14194251
2023-11-04,Overall,227,19116209
2023-11-04,Pediatrics,107,4921958
2023-11-11,Adults,111,14194251
2023-11-11,Overall,211,19116209
2023-11-11,Pediatrics,100,4921958
2023-11-18,Adults,117,14194251
2023-11-18,Overall,232,19116209
2023-11-18,Pediatrics,115,4921958
2023-11-25,Adults,114,14194251
2023-11-25,Overall,204,19116209
2023-11-25,Pediatrics,90,4921958
2023-12-02,Adults,107,14194251
2023-12-02,Overall,187,19116209
2023-12-02,Pediatrics,80,4921958
2023-12-09,Adults,100,14194251
2023-12-09,Overall,187,19116209
2023-12-09,Pediatrics,87,4921958
2023-12-16,Adults,87,14194251
2023-12-16,Overall,162,19116209
2023-12-16,Pediatrics,75,4921958
2023-12-23,Adults,99,14194251
2023-12-23,Overall,148,19116209
2023-12-23,Pediatrics,49,4921958
2023-12-30,Adults,69,14194251
2023-12-30,Overall,105,19116209
2023-12-30,Pediatrics,36,4921958
2024-01-06,Adults,84,14194251
2024-01-06,Overall,142,19116209
2024-01-06,Pediatrics,58,4921958
2024-01-13,Adults,81,14194251
2024-01-13,Overall,124,19116209
2024-01-13,Pediatrics,43,4921958
2024-01-20,Adults,74,14194251
2024-01-20,Overall,107,19116209
2024-01-20,Pediatrics,33,4921958
2024-01-27,Adults,62,14194251
2024-01-27,Overall,86,19116209
2024-01-27,Pediatrics,24,4921958
2024-02-03,Adults,87,14194251
2024-02-03,Overall,118,19116209
2024-02-03,Pediatrics,31,4921958
2024-02-10,Adults,76,14194251
2024-02-10,Overall,106,19116209
2024-02-10,Pediatrics,30,4921958
2024-02-17,Adults,100,14194251
2024-02-17,Overall,123,19116209
2024-02-17,Pediatrics,23,4921958
2024-02-24,Adults,98,14194251
2024-02-24,Overall,114,19116209
2024-02-24,Pediatrics,16,4921958
2024-03-02,Adults,97,14194251
2024-03-02,Overall,123,19116209
2024-03-02,Pediatrics,26,4921958
2024-03-09,Adults,83,14194251
2024-03-09,Overall,113,19116209
2024-03-09,Pediatrics,30,4921958
2024-03-16,Adults,94,14194251
2024-03-16,Overall,183,19116209
2024-03-16,Pediatrics,89,4921958
2024-03-23,Adults,106,14194251
2024-03-23,Overall,222,19116209
2024-03-23,Pediatrics,116,4921958
2024-03-30,Adults,104,14194251
2024-03-30,Overall,186,19116209
2024-03-30,Pediatrics,82,4921958
2024-04-06,Adults,113,14194251
2024-04-06,Overall,178,19116209
2024-04-06,Pediatrics,65,4921958
2024-04-13,Adults,118,14194251
2024-04-13,Overall,196,19116209
2024-04-13,Pediatrics,78,4921958
2024-04-20,Adults,141,14194251
2024-04-20,Overall,238,19116209
2024-04-20,Pediatrics,97,4921958
2024-04-27,Adults,150,14194251
2024-04-27,Overall,248,19116209
2024-04-27,Pediatrics,98,4921958
2024-05-04,Adults,159,14194251
2024-05-04,Overall,276,19116209
2024-05-04,Pediatrics,117,4921958
2024-05-11,Adults,205,14194251
2024-05-11,Overall,320,19116209
2024-05-11,Pediatrics,115,4921958
2024-05-18,Adults,239,14194251
2024-05-18,Overall,366,19116209
2024-05-18,Pediatrics,127,4921958
2024-05-25,Adults,272,14194251
2024-05-25,Overall,386,19116209
2024-05-25,Pediatrics,114,4921958
2024-06-01,Adults,188,14194251
2024-06-01,Overall,318,19116209
2024-06-01,Pediatrics,130,4921958
2024-06-08,Adults,178,14194251
2024-06-08,Overall,303,19116209
2024-06-08,Pediatrics,125,4921958
2024-06-15,Adults,167,14194251
2024-06-15,Overall,298,19116209
2024-06-15,Pediatrics,131,4921958
2024-06-22,Adults,148,14194251
2024-06-22,Overall,280,19116209
2024-06-22,Pediatrics,132,4921958
2024-06-29,Adults,133,14194251
2024-06-29,Overall,241,19116209
2024-06-29,Pediatrics,108,4921958
2024-07-06,Adults,168,14194251
2024-07-06,Overall,253,19116209
2024-07-06,Pediatrics,85,4921958
2024-07-13,Adults,141,14194251
2024-07-13,Overall,253,19116209
2024-07-13,Pediatrics,112,4921958
2024-07-20,Adults,154,14194251
2024-07-20,Overall,292,19116209
2024-07-20,Pediatrics,138,4921958
2024-07-27,Adults,197,14194251
