date,target_group,population,value
3/22/25,Maryland,6263220,210
3/22/25,North Carolina,11046024,444
3/29/25,Delaware,1051917,34
3/29/25,Florida,23372215,724
3/29/25,Georgia,11180878,190
3/29/25,Maryland,6263220,135
3/29/25,North Carolina,11046024,312
4/5/25,Delaware,1051917,24
4/5/25,Florida,23372215,591
4/5/25,Georgia,11180878,162
4/5/25,Maryland,6263220,129
4/5/25,North Carolina,11046024,192
4/12/25,Delaware,1051917,14
4/12/25,Florida,23372215,409
4/12/25,Georgia,11180878,84
4/12/25,Maryland,6263220,94
4/12/25,North Carolina,11046024,103
4/19/25,Delaware,1051917,10
4/19/25,Florida,23372215,343
4/19/25,Georgia,11180878,64
4/19/25,Maryland,6263220,62
4/19/25,North Carolina,11046024,64
4/26/25,Delaware,1051917,4
4/26/25,Florida,23372215,268
4/26/25,Georgia,11180878,44
4/26/25,Maryland,6263220,47
4/26/25,North Carolina,11046024,51
5/3/25,Delaware,1051917,10
5/3/25,Florida,23372215,241
5/3/25,Georgia,11180878,44
5/3/25,Maryland,6263220,41
5/3/25,North Carolina,11046024,41
5/10/25,Delaware,1051917,5
5/10/25,Florida,23372215,239
5/10/25,Georgia,11180878,44
5/10/25,Maryland,6263220,21
5/10/25,North Carolina,11046024,28
5/17/25,Delaware,1051917,0
5/17/25,Florida,23372215,219
5/17/25,Georgia,11180878,34
5/17/25,Maryland,6263220,10
5/17/25,North Carolina,11046024,19
5/24/25,Delaware,1051917,1
5/24/25,Florida,23372215,215
5/24/25,Georgia,11180878,21
5/24/25,Maryland,6263220,26
5/24/25,North Carolina,11046024,19
5/31/25,Delaware,1051917,0
5/31/25,Florida,23372215,232
5/31/25,Georgia,11180878,26
5/31/25,Maryland,6263220,38
5/31/25,North Carolina,11046024,19
6/7/25,Delaware,1051917,0
6/7/25,Florida,23372215,212
6/7/25,Georgia,11180878,28
6/7/25,Maryland,6263220,34
6/7/25,North Carolina,11046024,25
6/14/25,Delaware,1051917,5
6/14/25,Florida,23372215,227
6/14/25,Georgia,11180878,31
6/14/25,Maryland,6263220,13
6/14/25,North Carolina,11046024,18
6/21/25,Delaware,1051917,3
6/21/25,Florida,23372215,217
6/21/25,Georgia,11180878,18
6/21/25,Maryland,6263220,6
6/21/25,North Carolina,11046024,23
6/28/25,Delaware,1051917,1
6/28/25,Florida,23372215,193
6/28/25,Georgia,11180878,24
6/28/25,Maryland,6263220,6
6/28/25,North Carolina,11046024,26
7/5/25,Delaware,1051917,3
7/5/25,Florida,23372215,181
7/5/25,Georgia,11180878,9
7/5/25,Maryland,6263220,7
7/5/25,North Carolina,11046024,16
7/12/25,Delaware,1051917,2
7/12/25,Florida,23372215,177
7/12/25,Georgia,11180878,17
7/12/25,Maryland,6263220,4
7/12/25,North Carolina,11046024,12
7/19/25,Delaware,1051917,1
7/19/25,Florida,23372215,170
7/19/25,Georgia,11180878,21
7/19/25,Maryland,6263220,4
7/19/25,North Carolina,11046024,12
7/26/25,Delaware,1051917,0
7/26/25,Florida,23372215,173
7/26/25,Georgia,11180878,14
7/26/25,Maryland,6263220,18
7/26/25,North Carolina,11046024,14
8/2/25,Delaware,1051917,0
8/2/25,Florida,23372215,151
8/2/25,Georgia,11180878,22
8/2/25,Maryland,6263220,6
8/2/25,North Carolina,11046024,13
8/9/25,Delaware,1051917,0
8/9/25,Florida,23372215,132
8/9/25,Georgia,11180878,11
8/9/25,Maryland,6263220,3
8/9/25,North Carolina,11046024,12
8/16/25,Delaware,1051917,0
8/16/25,Florida,23372215,139
8/16/25,Georgia,11180878,19
8/16/25,Maryland,6263220,6
8/16/25,North Carolina,11046024,11
8/23/25,Delaware,1051917,0
8/23/25,Florida,23372215,124
8/23/25,Georgia,11180878,19
8/23/25,Maryland,6263220,7
8/23/25,North Carolina,11046024,12
8/30/25,Delaware,1051917,2
8/30/25,Florida,23372215,187
8/30/25,Georgia,11180878,19
8/30/25,Maryland,6263220,6
8/30/25,North Carolina,11046024,11
9/6/25,Delaware,1051917,0
9/6/25,Florida,23372215,185
9/6/25,Georgia,11180878,13
9/6/25,Maryland,6263220,3
9/6/25,North Carolina,11046024,11
9/13/25,Delaware,1051917,0
9/13/25,Florida,23372215,145
9/13/25,Georgia,11180878,17
9/13/25,Maryland,6263220,6
9/13/25,North Carolina,11046024,7
9/20/25,Delaware,1051917,2
9/20/25,Florida,23372215,150
9/20/25,Georgia,11180878,20
9/20/25,Maryland,6263220,6
9/20/25,North Carolina,11046024,19
9/27/25,Delaware,1051917,0
9/27/25,Florida,23372215,181
9/27/25,Georgia,11180878,22
9/27/25,Maryland,6263220,4
9/27/25,North Carolina,11046024,20
10/4/25,Delaware,1051917,1
10/4/25,Florida,23372215,142
10/4/25,Georgia,11180878,27
10/4/25,Maryland,6263220,3
10/4/25,North Carolina,11046024,19
10/11/25,Delaware,1051917,7
10/11/25,Florida,23372215,171
10/11/25,Georgia,11180878,15
10/11/25,Maryland,6263220,9
10/11/25,North Carolina,11046024,22
10/18/25,Delaware,1051917,1
10/18/25,Florida,23372215,196
10/18/25,Georgia,11180878,25
10/18/25,Maryland,6263220,6
10/18/25,North Carolina,11046024,23
10/25/25,Delaware,1051917,0
10/25/25,Florida,23372215,221
10/25/25,Georgia,11180878,32
10/25/25,Maryland,6263220,17
10/25/25,North Carolina,11046024,23
11/1/25,Delaware,1051917,3
11/1/25,Florida,23372215,236
11/1/25,Georgia,11180878,31
11/1/25,Maryland,6263220,14
11/1/25,North Carolina,11046024,28
11/8/25,Delaware,1051917,4
11/8/25,Florida,23372215,301
11/8/25,Georgia,11180878,47
11/8/25,Maryland,6263220,20
11/8/25,North Carolina,11046024,43
11/15/25,Delaware,1051917,7
11/15/25,Florida,23372215,388
11/15/25,Georgia,11180878,62
11/15/25,Maryland,6263220,35
11/15/25,North Carolina,11046024,178
11/22/25,Delaware,1051917,13
11/22/25,Florida,23372215,619
11/22/25,Georgia,11180878,106
11/22/25,Maryland,6263220,66
11/22/25,North Carolina,11046024,117
11/29/25,Delaware,1051917,13
11/29/25,Florida,23372215,729
11/29/25,Georgia,11180878,166
11/29/25,Maryland,6263220,101
11/29/25,North Carolina,11046024,163
12/6/25,Delaware,1051917,17
12/6/25,Florida,23372215,881
12/6/25,Georgia,11180878,182
12/6/25,Maryland,6263220,140
12/6/25,North Carolina,11046024,308
12/13/25,Delaware,1051917,39
12/13/25,Florida,23372215,912
12/13/25,Georgia,11180878,330
12/13/25,Maryland,6263220,242
12/13/25,North Carolina,11046024,538
12/20/25,Delaware,1051917,99
12/20/25,Florida,23372215,1536
12/20/25,Georgia,11180878,675
12/20/25,Maryland,6263220,408
12/20/25,North Carolina,11046024,1233
12/27/25,Delaware,1051917,211
12/27/25,Florida,23372215,2185
12/27/25,Georgia,11180878,1400
12/27/25,Maryland,6263220,660
12/27/25,North Carolina,11046024,2526
1/3/26,Delaware,1051917,209
1/3/26,Florida,23372215,2604
1/3/26,Georgia,11180878,1317
1/3/26,Maryland,6263220,824
1/3/26,North Carolina,11046024,2458
